FIPS_Code,Employed_2020,Median_Household_Income_2020,Unemployment_rate_2020,"Percent of adults completing some college or associate degree, 2019-23","Percent of adults who are high school graduates (or equivalent), 2019-23","Percent of adults who are not high school graduates, 2019-23","Percent of adults with a bachelor's degree or higher, 2019-23",BIRTHS_2020,DEATHS_2020,DOMESTIC_MIG_2020,GQ_ESTIMATES_BASE_2020,INTERNATIONAL_MIG_2020,NATURAL_CHG_2020,NET_MIG_2020,Anxiety_Score_2020,Depression_Score_2020,State_Name,Region
45041,62096,52650,5.4,30.72886864,33.3578053,12.26693154,23.64639452,383,471,-164,3280,2,-88,-162,2.522431363,2.571807155,South Carolina,South
45043,23734,59457,7.3,32.02806096,27.39430986,8.08598798,32.4916412,130,219,219,599,0,-89,219,2.600356103,2.632676416,South Carolina,South
45045,238182,71833,5.5,27.6522075,22.80800531,9.507528777,40.03225842,1545,1240,1281,10444,73,305,1354,2.526441641,2.582676742,South Carolina,South
45047,28896,49867,6.2,30.47198336,32.83940557,11.12302447,25.5655866,191,220,50,2794,2,-29,52,2.55080005,2.604932986,South Carolina,South
45051,132675,61375,8.4,33.37523615,31.40688723,8.621866771,26.59600984,793,1055,3333,7181,19,-262,3352,2.572990109,2.620249315,South Carolina,South
45055,27447,61015,5.1,32.91177421,33.42023053,10.84132285,22.82667241,164,204,222,369,2,-40,224,2.531084984,2.613513647,South Carolina,South
45057,39537,70113,6.6,30.12144082,27.72555746,10.95849057,31.19451115,259,263,621,1933,3,-4,624,2.609841214,2.62823713,South Carolina,South
45059,27435,53847,6.7,28.64093072,37.20782655,16.28344791,17.86779482,160,226,158,1885,4,-66,162,2.535142394,2.627277659,South Carolina,South
45063,141926,73022,4.2,31.77170835,26.63514616,8.485095762,33.10804973,759,742,1050,2562,9,17,1059,2.564151679,2.602807987,South Carolina,South
45071,17997,55050,4.6,30.27766043,32.51276931,13.72940589,23.48016437,93,121,29,1458,0,-28,29,2.386148123,2.515903371,South Carolina,South
45073,32546,61716,5.2,28.34622807,30.27446158,12.86229099,28.51701935,167,207,234,703,2,-40,236,2.604757478,2.682342141,South Carolina,South
45075,31089,42209,8.8,30.5600793,33.39233874,16.6855484,19.36203356,198,328,-136,3621,0,-130,-136,2.650848209,2.675928435,South Carolina,South
45077,52908,55333,5.1,29.97547969,29.96238633,12.74817883,27.31395515,304,331,276,9037,4,-27,280,2.504381266,2.559354622,South Carolina,South
45079,183830,61010,5.7,29.83385106,21.01720157,8.032161741,41.11678563,1127,942,-720,26954,66,185,-654,2.546496632,2.569069319,South Carolina,South
45083,146381,58535,6.3,30.99243778,31.11388766,12.15634707,25.73732749,886,880,1412,8322,7,6,1419,2.563405104,2.596448571,South Carolina,South
45085,40230,56937,6.5,33.75327178,32.21157995,10.87669342,23.15845486,348,339,-110,2525,9,9,-101,2.615405624,2.644515235,South Carolina,South
45091,134794,83692,5.8,30.85949048,23.56794063,7.460267297,38.11230159,694,598,1950,3936,12,96,1962,2.553063572,2.604899491,South Carolina,South
46011,17783,71166,3.9,29.68873025,23.06440607,3.280667681,43.966196,90,56,-66,3196,5,34,-61,2.5826381,2.67216098,South Dakota,Midwest
46013,19766,71731,4,30.10693069,30.38811881,6.336633663,33.16831683,99,100,-76,1155,4,-1,-72,2.444763764,2.477220575,South Dakota,Midwest
46027,6862,55263,4.1,22.01053912,25.94244021,6.093771112,45.95324956,25,20,23,2531,0,5,23,2.601861825,2.677425325,South Dakota,Midwest
46035,10528,63753,3.7,31.92247717,34.88527512,8.23494468,24.95730304,63,37,-20,518,0,26,-20,2.424354626,2.537977236,South Dakota,Midwest
46065,9583,79301,3,32.77208394,27.38734342,3.896209533,35.9443631,63,52,-40,775,0,11,-40,2.628095112,2.656039726,South Dakota,Midwest
46081,12799,67606,5.7,33.59810626,27.67490794,4.639663335,34.08732246,57,57,73,1031,2,0,75,2.53317077,2.627948049,South Dakota,Midwest
46099,108738,75623,4.1,33.07348994,25.41916709,6.941889569,34.56545339,729,448,116,5207,33,281,149,2.501675691,2.59382012,South Dakota,Midwest
46103,54642,67573,4.8,33.56140599,27.06519363,5.318122773,34.05527761,354,259,244,3923,7,95,251,2.525219328,2.649869425,South Dakota,Midwest
46135,11260,62951,4.1,31.50617888,33.57396305,7.267833109,27.65202496,66,65,-27,1872,0,1,-27,2.952859467,3.120322877,South Dakota,Midwest
47001,32012,64615,6.7,31.78831659,33.20980361,8.661403226,26.34047657,206,256,224,1117,0,-50,224,2.574534219,2.648657233,Tennessee,South
47003,19363,70185,8,26.65241456,41.20127683,15.23706329,16.90924532,174,123,89,1028,0,51,89,2.654147643,2.725350854,Tennessee,South
47009,59667,69713,6.4,28.49555929,35.41266603,9.302488398,26.78928629,318,410,474,2160,0,-92,474,2.558462983,2.631094156,Tennessee,South
47011,49109,62666,6.6,32.92049965,30.84305683,11.59651149,24.63993204,271,312,236,2564,0,-41,236,2.511482472,2.579929961,Tennessee,South
47019,22058,48912,6.8,30.13035914,37.86849694,11.34386692,20.657277,120,207,106,1458,0,-87,106,2.459245691,2.443345868,Tennessee,South
47021,20146,78437,5.7,28.47301952,36.7967853,9.674478287,25.05571689,105,121,77,349,0,-16,77,2.131387156,2.215745917,Tennessee,South
47025,11831,41087,7.4,25.89262557,39.9239215,16.87991701,17.30353592,65,108,72,1362,0,-43,72,2.674950013,2.516850883,Tennessee,South
47029,13323,45361,10.3,24.62345702,47.38590465,16.34517383,11.6454645,82,147,115,316,0,-65,115,2.623563542,2.774515593,Tennessee,South
47031,23629,56519,7.9,26.61467706,37.88742252,12.5624875,22.93541292,180,178,262,737,1,2,263,2.468099697,2.532457639,Tennessee,South
47035,21064,53388,7.5,31.34571723,39.80598555,10.35294118,18.49535604,132,218,354,601,0,-86,354,2.633001921,2.663682816,Tennessee,South
47037,366443,72561,8.2,22.91636257,20.10310741,9.659984755,47.32054526,2367,1559,-913,24848,106,808,-807,2.563376303,2.614701357,Tennessee,South
47043,24769,70192,6,28.82595503,39.01812806,10.79903524,21.35688166,148,159,146,763,0,-11,146,2.580699293,2.617961523,Tennessee,South
47045,14649,53715,7.9,26.88176337,40.63410933,10.84135287,21.64277443,109,126,-74,492,0,-17,-74,2.422975307,2.567111396,Tennessee,South
47047,18002,84328,6.2,31.0243506,32.97177331,9.105685974,26.89819012,84,121,208,536,0,-37,208,2.491841044,2.560823003,Tennessee,South
47051,18297,61417,8,27.29790144,40.48977413,9.161578754,23.05074567,95,120,96,2095,0,-25,96,2.431858946,2.714859858,Tennessee,South
47053,20319,55608,6.8,27.93075404,41.34715929,11.641687,19.08039967,117,155,54,939,0,-38,54,2.589996482,2.647571784,Tennessee,South
47059,26539,50410,8.1,26.11118689,42.90418753,13.30501374,17.67961184,170,217,240,2133,0,-47,240,2.517111078,2.582070977,Tennessee,South
47063,25951,56734,7.1,28.3403276,38.74148279,12.86043049,20.05775913,168,222,78,578,1,-54,79,2.54666331,2.628934607,Tennessee,South
47065,170053,75127,7.1,30.82071287,23.34748356,8.86683494,36.96496864,1054,997,988,8883,10,57,998,2.558642296,2.619663187,Tennessee,South
47073,21589,52819,7.7,26.742586,42.87544484,13.59667853,16.78529063,118,187,57,528,0,-69,57,2.499010514,2.640957197,Tennessee,South
47083,2993,60581,7.8,27.68995411,45.96294408,12.663607,13.68349482,14,26,31,182,0,-12,31,2.118347482,1.778491498,Tennessee,South
47089,23063,60785,7.5,31.47134899,36.43056108,11.06744926,21.03064067,127,167,292,1722,0,-40,292,2.572576555,2.593327433,Tennessee,South
